Cluster_ID	Annotation	Gene_Name	Cav_10DC88	Cav_11DC096	Cga_08-1274-3	Cga_12-4358	Ctr_A-HAR-13
group1	hypothetical protein	--	FFOKMCCD_00220	KCMFMKKO_00429	HDCLDDAM_00763	MFHLCMEF_00765	JGDJAKFF_00046
group2	Elongation factor Tu	tuf	FFOKMCCD_00485	KCMFMKKO_00178	HDCLDDAM_00070	MFHLCMEF_00070	JGDJAKFF_00342
group3	30S ribosomal protein S15	rpsO	FFOKMCCD_00547	KCMFMKKO_00118	HDCLDDAM_00130	MFHLCMEF_00130	JGDJAKFF_00913
group4	30S ribosomal protein S12	rpsL	FFOKMCCD_00025	KCMFMKKO_00616	HDCLDDAM_00572	MFHLCMEF_00573	JGDJAKFF_00475
group5	Cell shape-determining protein MreB	mreB	FFOKMCCD_00705	KCMFMKKO_00910	HDCLDDAM_00278	MFHLCMEF_00279	JGDJAKFF_00766
group6	50S ribosomal protein L14	rplN	FFOKMCCD_00918	KCMFMKKO_00706	HDCLDDAM_00481	MFHLCMEF_00482	JGDJAKFF_00563
group7	hypothetical protein	--	FFOKMCCD_00620	KCMFMKKO_00049	HDCLDDAM_00194	MFHLCMEF_00195	JGDJAKFF_00850
group8	30S ribosomal protein S13	rpsM	FFOKMCCD_00927	KCMFMKKO_00697	HDCLDDAM_00490	MFHLCMEF_00491	JGDJAKFF_00554
group9	DNA-binding protein HU 1	hupA	FFOKMCCD_00189	KCMFMKKO_00457	HDCLDDAM_00735	MFHLCMEF_00737	JGDJAKFF_00285
group10	Large cysteine-rich periplasmic protein omcB	omcB	FFOKMCCD_00021	KCMFMKKO_00621	HDCLDDAM_00567	MFHLCMEF_00568	JGDJAKFF_00479
group10.1	hypothetical protein	--	FFOKMCCD_00020	NA	NA	NA	NA
group11	hypothetical protein	--	FFOKMCCD_00229	KCMFMKKO_00421	HDCLDDAM_00771	MFHLCMEF_00773	JGDJAKFF_00056
group12	50S ribosomal protein L28	rpmB	FFOKMCCD_00269	KCMFMKKO_00386	HDCLDDAM_00807	MFHLCMEF_00809	JGDJAKFF_00089
group13	Yop proteins translocation protein U	yscU	FFOKMCCD_00274	KCMFMKKO_00381	HDCLDDAM_00812	MFHLCMEF_00814	JGDJAKFF_00094
group14	tRNA pseudouridine synthase B	truB	FFOKMCCD_00277	KCMFMKKO_00378	HDCLDDAM_00815	MFHLCMEF_00817	JGDJAKFF_00098
group14.1	hypothetical protein	--	NA	NA	NA	NA	JGDJAKFF_00097
group15	30S ribosome-binding factor	rbfA	FFOKMCCD_00278	KCMFMKKO_00377	HDCLDDAM_00816	MFHLCMEF_00818	JGDJAKFF_00099
group16	Transcription termination/antitermination protein NusA	nusA	FFOKMCCD_00280	KCMFMKKO_00375	HDCLDDAM_00818	MFHLCMEF_00820	JGDJAKFF_00101
group17	30S ribosomal protein S1	rpsA	FFOKMCCD_00281	KCMFMKKO_00374	HDCLDDAM_00819	MFHLCMEF_00821	JGDJAKFF_00102
group18	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	lpxA	FFOKMCCD_00905	KCMFMKKO_00718	HDCLDDAM_00469	MFHLCMEF_00470	JGDJAKFF_00576
group19	2-oxoisovalerate dehydrogenase subunit beta	bfmBAB	FFOKMCCD_00291	KCMFMKKO_00364	HDCLDDAM_00829	MFHLCMEF_00831	JGDJAKFF_00264
group20	3-oxoacyl-[acyl-carrier-protein] synthase 3	fabH	FFOKMCCD_00298	KCMFMKKO_00357	HDCLDDAM_00836	MFHLCMEF_00838	JGDJAKFF_00257
group21	Acyl carrier protein	acpP	FFOKMCCD_00301	KCMFMKKO_00354	HDCLDDAM_00839	MFHLCMEF_00841	JGDJAKFF_00254
group22	Magnesium transporter MgtE	--	FFOKMCCD_00312	KCMFMKKO_00345	HDCLDDAM_00848	MFHLCMEF_00850	JGDJAKFF_00208
group23	Elongation factor P	efp_2	FFOKMCCD_00366	KCMFMKKO_00293	HDCLDDAM_00900	MFHLCMEF_00902	JGDJAKFF_00127
group24	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	accB	FFOKMCCD_00367	KCMFMKKO_00292	HDCLDDAM_00901	MFHLCMEF_00903	JGDJAKFF_00128
group25	Biotin carboxylase	accC	FFOKMCCD_00368	KCMFMKKO_00291	HDCLDDAM_00902	MFHLCMEF_00904	JGDJAKFF_00129
group26	Putative malate transporter YflS	yflS	FFOKMCCD_00393	KCMFMKKO_00266	HDCLDDAM_00929	MFHLCMEF_00930	JGDJAKFF_00218
group27	Chaperone protein ClpB	clpB	FFOKMCCD_00412	KCMFMKKO_00248	HDCLDDAM_00001	MFHLCMEF_00001	JGDJAKFF_00118
group28	hypothetical protein	--	FFOKMCCD_00444	KCMFMKKO_00217	HDCLDDAM_00032	MFHLCMEF_00032	JGDJAKFF_00025
group29	V-type sodium ATPase subunit K	ntpK	FFOKMCCD_00466	KCMFMKKO_00197	HDCLDDAM_00051	MFHLCMEF_00051	JGDJAKFF_00323
group30	V-type sodium ATPase subunit B	ntpB	FFOKMCCD_00469	KCMFMKKO_00194	HDCLDDAM_00054	MFHLCMEF_00054	JGDJAKFF_00326
group31	Transaldolase	tal	FFOKMCCD_00475	KCMFMKKO_00188	HDCLDDAM_00060	MFHLCMEF_00060	JGDJAKFF_00332
group32	DNA-directed RNA polymerase subunit beta	rpoB	FFOKMCCD_00477	KCMFMKKO_00186	HDCLDDAM_00062	MFHLCMEF_00062	JGDJAKFF_00334
group33	50S ribosomal protein L11	rplK	FFOKMCCD_00481	KCMFMKKO_00182	HDCLDDAM_00066	MFHLCMEF_00066	JGDJAKFF_00338
group34	Transcription termination/antitermination protein NusG	nusG	FFOKMCCD_00482	KCMFMKKO_00181	HDCLDDAM_00067	MFHLCMEF_00067	JGDJAKFF_00339
group35	Translation initiation factor IF-1	infA	FFOKMCCD_00487	KCMFMKKO_00176	HDCLDDAM_00072	MFHLCMEF_00072	JGDJAKFF_00344
group36	C4-dicarboxylic acid transporter DauA	dauA	FFOKMCCD_00532	KCMFMKKO_00133	HDCLDDAM_00115	MFHLCMEF_00115	JGDJAKFF_00927
group37	50S ribosomal protein L20	rplT	FFOKMCCD_00557	KCMFMKKO_00109	HDCLDDAM_00139	MFHLCMEF_00139	JGDJAKFF_00904
group38	Ribonucleoside-diphosphate reductase subunit beta	nrdB	FFOKMCCD_00564	KCMFMKKO_00102	HDCLDDAM_00146	MFHLCMEF_00146	JGDJAKFF_00897
group39	hypothetical protein	--	FFOKMCCD_00572	KCMFMKKO_00095	HDCLDDAM_00151	MFHLCMEF_00151	JGDJAKFF_00892
group40	Phosphoglucosamine mutase	glmM	FFOKMCCD_00579	KCMFMKKO_00088	HDCLDDAM_00158	MFHLCMEF_00158	JGDJAKFF_00882
group41	hypothetical protein	--	FFOKMCCD_00054	KCMFMKKO_00587	HDCLDDAM_00603	MFHLCMEF_00604	JGDJAKFF_00429
group42	30S ribosomal protein S6	rpsF	FFOKMCCD_00603	KCMFMKKO_00066	HDCLDDAM_00178	MFHLCMEF_00178	JGDJAKFF_00866
group43	hypothetical protein	--	FFOKMCCD_00617	KCMFMKKO_00052	HDCLDDAM_00191	MFHLCMEF_00191	JGDJAKFF_00854
group44	30S ribosomal protein S14	rpsN	FFOKMCCD_00619	KCMFMKKO_00050	HDCLDDAM_00193	MFHLCMEF_00194	JGDJAKFF_00851
group45	hypothetical protein	--	FFOKMCCD_00633	KCMFMKKO_00035	HDCLDDAM_00207	MFHLCMEF_00208	JGDJAKFF_00836
group46	3-oxoacyl-[acyl-carrier-protein] synthase 2	fabF	FFOKMCCD_00634	KCMFMKKO_00034	HDCLDDAM_00208	MFHLCMEF_00209	JGDJAKFF_00835
group47	Ribosomal silencing factor RsfS	rsfS	FFOKMCCD_00635	KCMFMKKO_00033	HDCLDDAM_00209	MFHLCMEF_00210	JGDJAKFF_00834
group48	Elongation factor P	efp_1	FFOKMCCD_00656	KCMFMKKO_00013	HDCLDDAM_00229	MFHLCMEF_00230	JGDJAKFF_00816
